,title,link,channel,views,length
0,How to Build  Deep Research Agent  !?  |  Open Source ,https://youtu.be/5L4GUzJ3ooA,MG,160 ,19:55
1,Nitpicking OpenAI's Deep Research (It's Insane! But...) ,https://youtu.be/Kqjd_RzhSSY,bycloud,14000,19:55
2,LangGraph:16 Advance SQL Database Agent Powered ,https://youtu.be/gcRSQblTwPw,Sunny Savita,223 ,12:05
3,Deep Dive Into Test Time Scaling TTS: 1B Is Better Than 405B? ,https://youtu.be/3uBOO-rGA_Q,Richard Aragon,453 ,12:05
4,Insights from Cleric: Building an Autonomous AI SRE // Willem Pienaar // MLOps Podcast #290 ,https://youtu.be/24Ow2HnnoRc,MLOps.community,60 ,37:08
5,How LLMs Are Changing Every Job (And What You Can Do About It) ,https://youtu.be/1iHJGTlyDqc,What's AI by Louis-François Bouchard,176 ,37:08
6,The AI Architect: Bret Taylor ,https://youtu.be/0G1vd3Trj2U,Latent Space,233 ,16:15
7,RAG at scale: production ready GenAI apps with Azure AI Search ,https://youtu.be/_2tZaDs-w5s,AI Engineer,9 ,16:15
8,Jacob Adamczyk  - New Perspectives on Reward Shaping ,https://youtu.be/70kVz9G2Z-o,Cohere,1300,55:58
9,LSTM: The Comeback Story? ,https://youtu.be/8u2pW2zZLCs,Machine Learning Street Talk,3600,55:58
10,RAG's Intelligent Upgrade: Agentic RAR (Oxford Univ) ,https://youtu.be/xHUgONA-x3g,Discover AI,15000,12:33
11,Prompt Engineering Techniques (extended version) ,https://youtu.be/RASh7C9Pm7I,Jonathan Yarkoni,3300,12:33
12,767: Open-Source LLM Libraries and Techniques — with Dr. Sebastian Raschka ,https://youtu.be/CyprtaOZxu0,Super Data Science: ML &amp; AI Podcast with Jon Krohn,4400,1:35:59
13,Fast Fine Tuning and DPO Training of LLMs using Unsloth ,https://youtu.be/blSQov4DYO8,AI Anytime,773000,1:35:59
14,Stanford CS25: V2 I Introduction to Transformers w/ Andrej Karpathy ,https://youtu.be/XfpMkf4rD6E,Stanford Online,894 ,1:30
15,Direct Preference Optimization: Your Language Model is Secretly a Reward Model (Ko/En Subtitles) ,https://youtu.be/zunzfi0ExnQ,LLMPaperReview,1000,52:20
16,Mixture of Experts Architecture Step ,https://youtu.be/dxh0LjhRHO0,Neural Hacks with Vasanth,5900,52:20
17,LLM: Pretraining- Instruction fine-tuning and RLHF ,https://youtu.be/cybEKSNBp-w,YanAITalk,32000,1:07:02
18,FlashAttention - Tri Dao | Stanford MLSys #67 ,https://youtu.be/gMOAud7hZg4,Stanford MLSys Seminars,20000,1:07:02
19,Flash Attention 2.0 with Tri Dao (author)! | Discord server talks ,https://youtu.be/IoMSGuiwV3g,Aleksa Gordić - The AI Epiphany,2200,21:02
20,Flash Attention 2: Faster Attention with Better Parallelism and Work Partitioning ,https://youtu.be/b1D_hGKblNU,Data Science Gems,732 ,21:02
21,Introducing Accelerate &amp; PEFT to Democratize LLM:Training &amp; Inference LLM With Less Hardware ,https://youtu.be/Cbl8W8pfqFI,Kamalraj M M,567 ,52:38
22,Mastering MLOps with W&amp;B and Microsoft's Phi-2: A Deep Dive into Advanced Language Models ,https://youtu.be/q2JTN5KBQNs,Microsoft Reactor,5200,52:38
23,RAFT: Adapting Language Model to Domain Specific RAG ,https://youtu.be/sqPckknlgDc,LlamaIndex,7600,1:45:55
24,A Survey of Advanced Prompt Engineering Techniques [webinar] ,https://youtu.be/fQV5AXsNLu0,TensorOps,286000,1:45:55
25,The math behind Attention: Keys- Queries- and Values matrices ,https://youtu.be/UPtG_38Oq8o,Serrano.Academy,27000,40:55
26,How to evaluate an LLM-powered RAG application automatically. ,https://youtu.be/ZPX3W77h_1E,Underfitted,138000,40:55
27,What are Transformer Models and how do they work? ,https://youtu.be/qaWMOYf4ri8,Serrano.Academy,19000,1:11:41
28,High-performance RAG with LlamaIndex ,https://youtu.be/wBhY-7B2jdY,AI Makerspace,15000,1:11:41
29,Langchain vs Llama-Index - The Best RAG framework? (8 techniques) ,https://youtu.be/nze2ZFj7FCk,Farzad Roozitalab (AI RoundTable),13000,1:22:20
30,Pinecone vs FAISS vs pgvector + OpenAI Embeddings ,https://youtu.be/wHltI4kPKjk,Default Fallback,47000,1:22:20
31,Coding LLaMA 2 from scratch in PyTorch - KV Cache- Grouped Query Attention- Rotary PE- RMSNorm ,https://youtu.be/oM4VmoabDAI,Umar Jamil,19000,30:40
32,Stanford CS25: V3 I Beyond LLMs: Agents- Emergent Abilities- Intermediate-Guided Reasoning- Ba,https://youtu.be/ylEk1TE1uBo,Stanford Online,11000,30:40
33,RAG with #langchain v0.1 and RAG Evaluation with RAGAS (RAG ASessment) v0.1 ,https://youtu.be/Anr1br0lLz8,AI Makerspace,4200,1:01:53
34,Create Dataset Locally with Retrieval Aware Fine-tuning (RAFT) ,https://youtu.be/hH3k9KWmzfA,Fahd Mirza,1800,1:01:53
35,Exploring Sparse and Dense Embeddings: A Guide for Effective Information Retrieval with Milvus ,https://youtu.be/6_Tjdu6IZdA,Zilliz,60000,58:58
36,Text Embeddings- Classification- and Semantic Search (w/ Python Code) ,https://youtu.be/sNa_uiqSlJo,Shaw Talebi,61000,58:58
37,CrewAI Step-,https://youtu.be/kBXYFaZ0EN0,Alejandro AO - Software &amp; Ai,7300,1:00:25
38,Omar Khattab- DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines ,https://youtu.be/Dt3H2ninoeY,FunctionalTV,68000,1:00:25
39,DSPy Explained! ,https://youtu.be/41EfOY0Ldkc,Connor Shorten,2000,19:02
40,How He Built The Best 7B Params LLM with Maxime Labonne #43 ,https://youtu.be/OZEYkQTp7x8,AI Stories Podcast - Neil Leiser,25000,19:02
41,Which Quantization Method is Right for You? (GPTQ vs. GGUF vs. AWQ) ,https://youtu.be/mNE_d-C82lI,Maarten Grootendorst,11000,50:50
42,How to Quantize an LLM with GGUF or AWQ ,https://youtu.be/XM8pllpBVA0,Trelis Research,8600,50:50
43,Self-Reflective AI: Self-RAG for Multi-AI-Agents explained ,https://youtu.be/i4V9iJcxzZ4,Discover AI,3600,59:04
44,Everything about LLM Agents - Chain of Thought- Reflection- Tool Use- Memory- Multi-Agent Framework ,https://youtu.be/Ll7lRBaP378,John Tan Chong Min,29000,59:04
45,Reflection Agents ,https://youtu.be/v5ymBTXNqtk,LangChain,29000,11:41
46,Self-reflective RAG with LangGraph: Self-RAG and CRAG ,https://youtu.be/pbAd8O1Lvm4,LangChain,29000,11:41
47,Adding Agentic Layers to RAG ,https://youtu.be/aQ4yQXeB1Ss,AI User Group,8400,1:02:35
48,DSPy: Transforming Language Model Calls into Smart Pipelines // Omar Khattab // MLOps Podcast #194 ,https://youtu.be/NoaDWKHdkHg,MLOps.community,20000,1:02:35
49,DSPy explained: No more LangChain PROMPT Templates ,https://youtu.be/ycfnKPxBMck,Discover AI,18000,36:16
50,Getting started with DSPy tutorial ,https://youtu.be/f_7oLIF6X9o,Qdrant - Vector Database &amp; Search Engine,6200,36:16
51,DSPy — Does It Live Up To The Hype? ,https://youtu.be/f_7oLIF6X9o,Data Science In Everyday Life,8100,50:42
52,Adding Depth to DSPy Programs ,https://youtu.be/wds11xm4ruo,Connor Shorten,9300,50:42
53,Make LLM Fine Tuning 5x Faster with Unsloth ,https://youtu.be/0c7Ksd6BG88,AI Anytime,7100,44:26
54,Custom Fine-tuning 30x Faster on T4 GPUs with UnSloth AI ,https://youtu.be/sIFokbuATX4,Prompt Engineering,11000,44:26
55,Advanced RAG with ColBERT in LangChain and LlamaIndex ,https://youtu.be/R4CUKAHShyE,Prompt Engineering,30000,59:14
56,Fast LLM Serving with vLLM and PagedAttention ,https://youtu.be/kEgeegk9iqo,Anyscale,1500,59:14
57,NEW Challenge for LLM: CONSISTENCY ALIGNMENT ,https://youtu.be/5ZlavKF_98U,Discover AI,164 ,53:50
58,Langchain Web Scrapping  with OpenAI. Working with html content #datascience #machinelearning ,https://youtu.be/EZBvSAjblss,The Machine Learning Engineer,93 ,53:50
59,LISA: Layerwise Importance Sampling for Memory-Efficient Large Language Model Fine-Tuning ,https://youtu.be/gc4UBabpVPA,Arxiv Papers,5300,39:52
60,MiniLLM: Knowledge Distillation of Large Language Models ,https://youtu.be/BYZ7H9JR9mU,Gabriel Mongaras,1700,39:52
61,12 Best Practices for Distilling Smaller LLMs with GPT ,https://youtu.be/fbledYWt_PE,Predibase,5900,3:04:11
62,MedAI #88: Distilling Step-,https://youtu.be/vELvSKZOREA,Stanford MedAI,633 ,3:04:11
