,title,link,channel,views,length
0,Stanford CS25: V2 I Introduction to Transformers w/ Andrej Karpathy ,https://youtu.be/XfpMkf4rD6E,Stanford Online,742000,1:11:41
1,Stanford CS229 I Machine Learning I Building Large Language Models (LLMs) ,https://youtu.be/9vM4p9NN0Ts,Stanford Online,599000,1:11:41
2,AI and Quantum Computing: Glimpsing the Near Future ,https://youtu.be/gZZan4JMwk4,World Science Festival,501000,1:44:31
3,10 Important Python Concepts In 20 Minutes ,https://youtu.be/Gx5qb1uHss4,Indently,386000,1:44:31
4,Python RAG Tutorial (with Local LLMs): AI For Your PDFs ,https://youtu.be/2TJxpyO3ei4,pixegami,329000,1:25:33
5,Pydantic Tutorial • Solving Python's Biggest Problem ,https://youtu.be/XIdQ6gO3Anc,pixegami,293000,1:25:33
6,The math behind Attention: Keys- Queries- and Values matrices ,https://youtu.be/UPtG_38Oq8o,Serrano.Academy,269000,18:49
7,Visualizing transformers and attention | Talk for TNG Big Tech Day '24 ,https://youtu.be/KJtZARuO3JY,Grant Sanderson,251000,18:49
8,Andrew Ng Explores The Rise Of AI Agents And Agentic Reasoning | BUILD 2024 Keynote ,https://youtu.be/KrRD7r7y7NY,Snowflake Inc.,249000,21:33
9,This AI breaks the internet ,https://youtu.be/a4nXGnumD1U,AI Search,237000,21:33
10,FINALLY- this AI agent actually works! ,https://youtu.be/XeWZIzndlY4,AI Search,230000,11:07
11,Outperform Every Area Of Your Life (+2h Animation) ,https://youtu.be/S7RFQfClRF4,Outperform,218000,11:07
12,MIT 6.S191: Recurrent Neural Networks- Transformers- and Attention ,https://youtu.be/dqoEU9Ac3ek,Alexander Amini,217000,36:16
13,MAMBA from Scratch: Neural Nets Better and Faster than Transformers ,https://youtu.be/N6Piou4oYx8,Algorithmic Simplicity,211000,36:16
14,CrewAI Tutorial: Complete Crash Course for Beginners ,https://youtu.be/sPzc6hMg7So,codewithbrandon,207000,57:45
15,I Built an AI Agent That Does EVERYTHING for You! (100% Automated) ,https://youtu.be/PwwvZQORy1I,Nick Puru,198000,57:45
16,Build Anything with Claude Agents- Here’s How ,https://youtu.be/5CmAKm1wWW0,David Ondrej,192000,26:52
17,Software Architecture for Tomorrow: Expert Talk • Sam Newman &amp; Julian Wood • GOTO 2024 ,https://youtu.be/8KntBPOdfWA,GOTO Conferences,179000,26:52
18,Stanford CS25: V3 I Retrieval Augmented Language Models ,https://youtu.be/mE7IDf2SmJg,Stanford Online,174000,37:27
19,Unlimited AI Agents running locally with Ollama &amp; AnythingLLM ,https://youtu.be/4UFrVvy7VlA,Tim Carambat,166000,37:27
20,Build Anything with Llama 3 Agents- Here’s How ,https://youtu.be/i-txsBoTJtI,David Ondrej,163000,27:00
21,OpenAI is SERIOUSLY Concerning Me… ,https://youtu.be/ECoaXQ-9ehA,Matt Wolfe,161000,27:00
22,The Key Equation Behind Probability ,https://youtu.be/KHVR587oW8I,Artem Kirsanov,158000,1:59:08
23,OpenAI CLIP: ConnectingText and Images (Paper Explained) ,https://youtu.be/T9XSU0pKX2E,Yannic Kilcher,139000,1:59:08
24,Google Announces STUNNING AI Agents | Google Cloud Keynote AI Agents ,https://youtu.be/-fW0v2aHoeQ,Wes Roth,136000,1:01:31
25,The RIGHT WAY To Build AI Agents with CrewAI (BONUS: 100% Local) ,https://youtu.be/iJjSjmZnNlI,Matthew Berman,136000,1:01:31
26,Local Retrieval Augmented Generation (RAG) from Scratch (step ,https://youtu.be/qN_2fnOPY-M,Daniel Bourke,135000,31:51
27,GraphRAG: LLM-Derived Knowledge Graphs for RAG ,https://youtu.be/r09tJfON6kE,Alex Chao,131000,31:51
28,What are Transformer Models and how do they work? ,https://youtu.be/qaWMOYf4ri8,Serrano.Academy,131000,1:05:43
29,The Elegant Math Behind Machine Learning ,https://youtu.be/URtF_UHYBSo,Machine Learning Street Talk,129000,1:05:43
30,Architecture Modernization: Aligning Software- Strategy &amp; Structure • Nick Tune • GOTO 2024 ,https://youtu.be/DwAI2NqscMo,GOTO Conferences,125000,48:35
31,The Future of Knowledge Assistants: Jerry Liu ,https://youtu.be/zeAyuLc_f3Q,AI Engineer,124000,48:35
32,Reliable- fully local RAG agents with LLaMA3 ,https://youtu.be/-ROS6gfYIts,LangChain,118000,18:35
33,AI Leader Reveals The Future of AI AGENTS (LangChain CEO) ,https://youtu.be/9ZhbA0FHZYc,Matthew Berman,108000,18:35
34,The Future Of AI Agents With Dharmesh Shah | INBOUND 2024 ,https://youtu.be/IityUpVVD38,INBOUND,107000,42:25
35,Why Agent Frameworks Will Fail (and what to use instead) ,https://youtu.be/KY8n96Erp5Q,Dave Ebbelaar,102000,42:25
36,It's Not About Scale- It's About Abstraction ,https://youtu.be/s7_NlkBwdj8,Machine Learning Street Talk,101000,1:19:27
37,The PERFECT AI Prompt For Everything ,https://youtu.be/y8_jeWCVMaY,Matt Wolfe,95000,1:19:27
38,&quot;VoT&quot; Gives LLMs Spacial Reasoning AND Open-Source &quot;Large Action Model&quot; ,https://youtu.be/JSRBesvBCtI,Matthew Berman,94000,15:21
39,Inside GPT – Large Language Models Demystified • Alan Smith • GOTO 2024 ,https://youtu.be/MznD2DzlQCc,GOTO Conferences,92000,15:21
40,LLAMA-3 🦙: EASIET WAY To FINE-TUNE ON YOUR DATA 🙌 ,https://youtu.be/aQmoog_s8HE,Prompt Engineering,91000,12:23
41,WE MUST ADD STRUCTURE TO DEEP LEARNING BECAUSE... ,https://youtu.be/rie-9AEhYdY,Machine Learning Street Talk,91000,12:23
42,LangGraph 101: it's better than LangChain ,https://youtu.be/qaWOwbFw3cs,James Briggs,89000,17:20
43,MASSIVE Step Allowing AI Agents To Control Computers (MacOS- Windows- Linux) ,https://youtu.be/YZp3Hy6YFqY,Matthew Berman,87000,17:20
44,Mustafa Suleyman on The Coming Wave of AI- with Zanny Minton Beddoes ,https://youtu.be/S908LlqOLq0,Intelligence Squared,86000,26:24
45,How AI &amp; DevOps Are About to Change the Way We Create Products • Marko Klemetti • GOTO 2023 ,https://youtu.be/5Vc71tEiVPw,GOTO Conferences,85000,26:24
46,The Best RAG Technique Yet? Anthropic’s Contextual Retrieval Explained! ,https://youtu.be/tmiBae2goJM,Prompt Engineering,83000,48:07
47,Graph RAG: Improving RAG with Knowledge Graphs ,https://youtu.be/vX3A96_F3FU,Prompt Engineering,82000,48:07
48,Chat with SQL and Tabular Databases using LLM Agents (DON'T USE RAG!) ,https://youtu.be/ZtltjSjFPDg,Farzad Roozitalab (AI RoundTable),80000,36:07
49,&quot;Compute is the New Oil&quot;- Leaving Google- Founding Groq- Agents- Bias/Control (Jonathan Ross) ,https://youtu.be/Z0jqIk7MUfE,Matthew Berman,79000,36:07
50,The New Stack and Ops for AI ,https://youtu.be/XGJNo8TpuVA,OpenAI,78000,19:47
51,There are monsters in your LLM. ,https://youtu.be/ztNdagyT8po,Machine Learning Street Talk,75000,19:47
52,Harvard Presents NEW Knowledge-Graph AGENT (MedAI) ,https://youtu.be/Fm68I-phaiY,Discover AI,75000,5:40:59
53,How To Connect Local LLMs to CrewAI [Ollama- Llama2- Mistral] ,https://youtu.be/0ai-L50VCYU,codewithbrandon,75000,5:40:59
54,Andrew Ng On AI Agentic Workflows And Their Potential For Driving AI Progress ,https://youtu.be/q1XFm21I-VQ,Snowflake Developers,73000,15:40
55,Self-Improving Agents are the future- let’s build one ,https://youtu.be/e24BlWvSLNM,David Ondrej,71000,15:40
56,Claude System Prompt LEAK Reveals ALL | The 'Secret' Behind It's Personality... ,https://youtu.be/AbPTz08oq58,Wes Roth,70000,44:26
57,OpenAI's new model is a &quot;RESEARCH ARTIFACT&quot; | Unlocks &quot;Society of Minds&quot;? ,https://youtu.be/4SrR2sXZ6hE,Wes Roth,67000,44:26
58,Here's Where AI Is Headed (Feat. Dmitry Shapiro) ,https://youtu.be/FVB6Er0kM0o,Matt Wolfe,67000,1:53:12
59,Building a Machine Learning Pipeline with Kubeflow | Full Walk-through ,https://youtu.be/6wWdNg0GMV4,Technology with Flo,67000,1:53:12
60,Create AI Agents From Scratch With Python! (Free Course) ,https://youtu.be/cDm5vPXVln8,Hasan Aboul Hasan,65000,46:52
61,5 Useful Dunder Methods In Python ,https://youtu.be/y1ZWQQEe5PM,Indently,65000,46:52
62,DSPy Explained! ,https://youtu.be/41EfOY0Ldkc,Connor Shorten,65000,16:55
63,Retrieval Augmented Generation (RAG) Explained: Embedding- Sentence BERT- Vector Database (HNSW) ,https://youtu.be/rhZgXNdhWDY,Umar Jamil,63000,16:55
64,Marker: This Open-Source Tool will make your PDFs LLM Ready ,https://youtu.be/mdLBr9IMmgI,Prompt Engineering,62000,21:19
65,AWS Summit ANZ 2022 - End-to-end MLOps for architects (ARCH3) ,https://youtu.be/UnAN35gu3Rw,AWS Events,62000,21:19
66,Stanford CS25: V4 I Overview of Transformers ,https://youtu.be/fKMB5UlVY1E,Stanford Online,61000,16:22
67,NEURAL NETWORKS ARE WEIRD! - Neel Nanda (DeepMind) ,https://youtu.be/YpFaPKOeNME,Machine Learning Street Talk,59000,16:22
68,CrewAI Step-,https://youtu.be/kBXYFaZ0EN0,Alejandro AO - Software &amp; Ai,58000,29:38
69,How a Transformer works at inference vs training time ,https://youtu.be/IGu7ivuy1Ag,Niels Rogge,58000,29:38
70,Llama3 + CrewAI + Groq = Email AI Agent ,https://youtu.be/1D4YoAUpjlg,Sam Witteveen,57000,19:21
71,MoA BEATS GPT4o With Open-Source Models!! (With Code!) ,https://youtu.be/qxyjkfzD-kE,Matthew Berman,57000,19:21
72,Text Embeddings- Classification- and Semantic Search (w/ Python Code) ,https://youtu.be/sNa_uiqSlJo,Shaw Talebi,56000,46:22
73,Tsinghua Open Courses | Artificial Intelligence: Fundamentals- Challenges and Progresses ,https://youtu.be/tgLsa1Rwqn8,Tsinghua University,56000,46:22
74,Advanced RAG with Knowledge Graphs (Neo4J demo) ,https://youtu.be/nPG_jKrSpi0,Johannes Jolkkonen | Funktio AI,56000,14:15
75,Extract Key Information from Documents using LayoutLM | LayoutLM Fine-tuning | Deep Learning ,https://youtu.be/aGcLSH9TTLU,Karndeep Singh,56000,14:15
76,Leave No Context Behind: Efficient Infinite Context Transformers with Infini-attention ,https://youtu.be/r_UBBfTPcF0,Yannic Kilcher,56000,16:26
77,Unlock AI Agent real power?! Long term memory &amp; Self improving ,https://youtu.be/7LWTZqksmSg,AI Jason,55000,16:26
78,The AI Scientist | Fully Automated Open-Ended Scientific Discovery ,https://youtu.be/_3o3U5qBPJM,Wes Roth,54000,47:21
79,The KL Divergence : Data Science Basics ,https://youtu.be/q0AkK8aYbLY,ritvikmath,54000,47:21
80,STUNNING Step for Autonomous AI Agents PLUS OpenAI Defense Against JAILBROKEN Agents ,https://youtu.be/hrPQS__ayu8,Wes Roth,54000,15:17
81,AI Agents Tutorial For Beginners ,https://youtu.be/EUey9L9sgzE,codebasics,54000,15:17
82,How to Create FULLY Autonomous AI Research Agents ,https://youtu.be/aetuZozGnyQ,Jack Roberts,53000,1:49:11
83,Coding a Multimodal (Vision) Language Model from scratch in PyTorch with full explanation ,https://youtu.be/vAmKB7iPkWw,Umar Jamil,53000,1:49:11
84,Pattern Recognition vs True Intelligence - Francois Chollet ,https://youtu.be/JTU8Ha4Jyfc,Machine Learning Street Talk,53000,32:26
85,Understanding ReACT with LangChain ,https://youtu.be/Eug2clsLtFs,Sam Witteveen,52000,32:26
86,Step-,https://youtu.be/twzgEBabOBk,Matthew Berman,51000,19:10
87,Build a Customer Support Bot | LangGraph ,https://youtu.be/b3XsvoFWp4c,LangChain,51000,19:10
88,crewAI Crash Course For Beginners-How To Create Multi AI Agent For Complex Usecases ,https://youtu.be/UV81LAb3x2g,Krish Naik,50000,1:23:31
89,BIG win for Open Source AI | Snowflake Arctic 128 Experts MoE- &quot;Cookbook&quot; create world-class models ,https://youtu.be/5Km-6zZP8IQ,Wes Roth,50000,1:23:31
90,New in Python 3.13: Replace ,https://youtu.be/H2G_BsF6HT4,Indently,50000,35:57
91,I Automated My YouTube Channel With CrewAI [Free Source Code Included] ,https://youtu.be/OumQe3zotGU,codewithbrandon,49000,35:57
92,Operating EDA with Quality in Mind • Sheen Brisals &amp; Sarah Hamilton • GOTO 2024 ,https://youtu.be/xZdQ4VHtxdU,GOTO Conferences,49000,16:14
93,AI tongue can taste- 4D model maker- AI video updates- Nobel Prizes- Robotaxis: AI NEWS ,https://youtu.be/escd2emPILo,AI Search,49000,16:14
94,Agentic RAG Explained - Build Your Own AI Agent System from scratch! (Step-,https://youtu.be/LzG_Vkd30Kg,TwoSetAI,49000,15:58
95,How to deploy LLMs (Large Language Models) as APIs using Hugging Face + AWS ,https://youtu.be/a2A_CxrH3Ts,Data Science In Everyday Life,45000,15:58
96,The missing pieces to your AI app (pgvector + RAG in prod) ,https://youtu.be/ibzlEQmgPPY,Supabase,45000,58:54
97,#2- Complete End To End Generative AI Project On AWS Using AWS Bedrock And AWS Lambda ,https://youtu.be/3OP39y4dO_Y,Krish Naik,44000,58:54
98,NEW AI Framework - Steerable Chatbots with Semantic Router ,https://youtu.be/ro312jDqAh0,James Briggs,44000,24:22
