,title,link,channel,views,length
0,Exploring Log-Linear Attention ,https://youtu.be/ReM_LAQSR2c,MCP Developers Summit,306 ,21:46
1,Astonishing discovery ,https://youtu.be/32f9MgnLSn4,Valence,10000,21:46
2,Exploring the Continuous Thought Machine ,https://youtu.be/JHZWu02ahmM,Sparkout Tech Solutions,47 ,23:56
3,Build your first Agentic AI app step-,https://youtu.be/f1sLBGWnByc,Arcade,2700,23:56
4,Part 5: Building Light RAG using FAISS &amp; Neo4j | Step-,https://youtu.be/JwFhlZBvV2E,Fahd Mirza,1800,40:44
5,Good LLMs need BAD Data: The Shocking Truth ,https://youtu.be/5Sm9IVMet9c,freeCodeCamp.org,187000,40:44
6,Perception Language Models (PLMs) ,https://youtu.be/_Mwq4onrGxw,MLSecOps,197 ,45:43
7,Build a Slack Agent with Pydantic AI [Step-,https://youtu.be/wRUyWi66Hz8,Richard Aragon,367 ,45:43
8,AI 2027: Month-,https://youtu.be/sMO3BAPBLG4,Fahd Mirza,2800,17:42
9,Build LLM App with Web Search: Step-,https://youtu.be/jPeOAOvKFHE,James Briggs,742 ,17:42
10,Code Your Own AI Companion: NovaBot’s Telegram Brain Revealed (Step-,https://youtu.be/6u996P09EZE,PyTorch,57 ,2:12:44
11,&quot;THE PREFIX HACK&quot; Cut AI Fine-Tuning Costs ,https://youtu.be/yoldjQgsZv0,PyTorch,51 ,2:12:44
12,3 ways to read an ML research paper | Explained ,https://youtu.be/jqyWZ19d1hg,AI Engineer,410 ,49:24
13,Meta Reinforcement Fine-Tuning AI vs GRPO (MRT ,https://youtu.be/XB4-24s0JzQ,Richard Aragon,287 ,49:24
14,NEW: Topological AI for Reasoning (SOLAR ,https://youtu.be/yEbRTZEtl_o,AI With Tarun,2500,28:49
15,Stanford CS224N: NLP w/ DL | Spring 2024 | Lecture 14 - Reasoning and Agents ,https://youtu.be/_kpxLkH5vY0,Sunny Savita,8700,28:49
16,Stanford CS224N: NLP with Deep Learning | Spring 2024 | Lecture 15 - After DPO ,https://youtu.be/pUUzXimhUuA,IBM Technology,710 ,8:53
17,LLM + Knowledge Graph + GNN = TRUTH ,https://youtu.be/fLKH8HefqSo,Trelis Research,356 ,8:53
18,Encoder Architecture in Transformers | Step ,https://youtu.be/AxRJ4cnQrN4,AI Makerspace,16 ,29:56
19,Improving RAG Retrieval ,https://youtu.be/JFxPimkv0tk,Zilliz,3400,29:56
20,LangGraph:16 Advance SQL Database Agent Powered ,https://youtu.be/uFPAtKIN-FQ,AI Engineer,223 ,15:45
21,Reduce GPT-4 costs ,https://youtu.be/3th80uNyCPg,MLOps.community,86000,15:45
22,Deep Research ,https://youtu.be/Bugs0dVcNI8,LangChain,1100,21:26
23,Rebuilding YC’s Hype AI… Before Lunch! (Step-,https://youtu.be/Qvp9vw4jJQ8,AI Engineer,4500,21:26
24,Efficient Document Search with ModernBERT (Step-,https://youtu.be/J3oJqan2Gv8,AI Engineer,1500,26:38
25,How GPT Learns Layer ,https://youtu.be/J3oJqan2Gv8,AI Engineer,298 ,26:38
26,Decoder-only inference: a step-,https://youtu.be/2Jom-4Brg6Q,Richard Aragon,318 ,13:07
27,New - Easy to Learn - AI Agents: Smolagents (,https://youtu.be/Bi061_qlgWI,MG,76 ,13:07
28,Paper Podcast  - LLM Pruning and Distillation ,https://youtu.be/kYMP3kyeZv8,Deep Learning with Yacine,1100,8:30
