,title,link,channel,views,length
0,The GAN is dead; long live the GAN! A Modern Baseline GAN ,https://youtu.be/6q420No69Aw,Arxiv Papers,No ,26:00
1,Python Reduced Row Echelon Form (RREF) - NumPy ,https://youtu.be/12hpWB3cmzg,Ryan &amp; Matt Data Science,43 ,26:00
2,Building and Evaluating a Company Research Agent ,https://youtu.be/n4do7rZQvvU,LangChain,2200,12:10
3,Emerging Architectures of LLM Applications 2025 ,https://youtu.be/3247Qd2Ags4,TensorOps,170 ,12:10
4,How to OPTIMIZE your prompts for better Reasoning! ,https://youtu.be/IVRr3zvXC0Q,Sam Witteveen,4800,15:57
5,Create an AI Research Assistant from Scratch Under 2 Hours! ,https://youtu.be/762sqd7Iw6Y,TwoSetAI,138 ,15:57
6,Klaudia Bałazy - Efficient FT of LLMs: Exploring PEFT Methods and LORA-XS Insights | ML in PL 2024 ,https://youtu.be/XisteSifSIE,ML in PL,82 ,1:26:24
7,How language model post-training is done today ,https://youtu.be/6yIMb0K-aS4,Interconnects AI,1100,1:26:24
8,Chollet -- &quot;o-models FAR beyond classical DL&quot; ,https://youtu.be/w9WE1aOPjHc,Machine Learning Street Talk,36000,21:17
9,Pruning and Distillation Best Practices: The Minitron Approach Explained ,https://youtu.be/eJs-8IDHJ3w,What's AI by Louis-François Bouchard,313 ,21:17
10,Find the BEST RAG Strategy with Domain Specific Evals ,https://youtu.be/wZ2DXaSIm4g,Adam Lucek,1100,20:42
11,TINY LM Agents on Edge Devices: Can We Scale? ,https://youtu.be/TU19Orwu4jE,Discover AI,1500,20:42
12,What you NEED to know about LLM rate limits ,https://youtu.be/uIuY1GCckXM,Tommy Codes,62 ,16:57
13,CAG : Improved RAG Framework using cache ,https://youtu.be/cnxp-DbZwyA,Data Science in your pocket,858 ,16:57
14,This SIMPLE Trick will Change LLM Accuracy !!! ,https://youtu.be/b2HHPuN0CbY,1littlecoder,9000,53:51
15,LLM Evals - Part 2: Improving Performance ,https://youtu.be/TyPSwGl1CCo,Trelis Research,493 ,53:51
16,Diffusion Transformer | Understanding Diffusion Transformers (DiT) ,https://youtu.be/U33azR0bfUM,AILinkDeepTech,282 ,1:26:47
17,Easily Finetune Llama3.2 for Your Use Case | Upload to Ollama | Unsloth ,https://youtu.be/_SkeqSsLZTg,Joydeep Bhattacharjee,971 ,1:26:47
18,851: Quantum ML: Real-World Applications Today — with  Dr. Florian Neukart ,https://youtu.be/SrogIgmmpx4,Super Data Science: ML &amp; AI Podcast with Jon Krohn,282 ,13:29
19,Master SmolAgents - Crash Course from Basics to Multi-Agents ,https://youtu.be/uzskhpH5fvo,Prompt Engineering,4000,13:29
20,#236 PLAID: An efficient engine for late interaction retrieval ,https://youtu.be/uC9h6TSKuQQ,Data Science Gems,46 ,32:30
21,Beginner's Guide to Agent Evaluations ,https://youtu.be/uC9h6TSKuQQ,LangChain,4600,32:30
22,The Definitive Guide to Building AI Agents in 2025 - Frameworks- Patterns and Use Cases! ,https://youtu.be/_QozKR9eQE8,AI Software Developers,4100,28:08
23,Don't Do RAG - CAG is 40x faster than RAG - Install and Test Locally ,https://youtu.be/77nHShlpCfQ,Fahd Mirza,5000,28:08
24,Become An AI Engineer in 2025 | The 6 Step Roadmap ,https://youtu.be/7RhZE_FnL74,Greg Kamradt,10000,10:35
