,title,link,channel,views,length
0,Build Anything with Claude Agents- Here’s How ,https://youtu.be/5CmAKm1wWW0,David Ondrej,41000,18:35
1,Denoising Autoencoders | Deep Learning Animated ,https://youtu.be/0V96wE7lY4w,Deepia,3700,18:35
2,Anthropic Has (Maybe) Solved a Holy Grail of Business AI ,https://youtu.be/5cZwbWVdovs,The AI Daily Brief: Artificial Intelligence News,3500,15:17
3,Building AI Agents: Chat Trigger- Memory- and System/User Messages Explained [Part 1] ,https://youtu.be/yzvLfHb0nqE,n8n,1100,15:17
4,Cleric AI SRE: Towards Self-healing Autonomous Software // Willem Pienaar // Agents in Production ,https://youtu.be/RoDQflGheHQ,MLOps.community,173 ,8:05
5,Software Architecture- Design Thinking &amp; Knowledge Flow • Diana Montalion &amp; Kris Jenkins • GOTO 2024 ,https://youtu.be/5olb_uNB_5k,GOTO Conferences,742 ,8:05
6,Boost RAG Performances with Fine-Tuned Embedding Models ,https://youtu.be/YE6-dS-80KQ,What's AI by Louis-François Bouchard,171 ,20:16
7,CAT4D: Create Anything in 4D with Multi-View Video Diffusion Models ,https://youtu.be/JadmQUudEt4,Arxiv Papers,18 ,20:16
8,The Drive Towards Better Tech Solutions // Michael Gschwind // MLOps Podcast #274 clip ,https://youtu.be/I9bocV81_0Q,MLOps.community,21 ,29:01
9,AI-Driven Code: Navigating Due Diligence &amp; Transparency in MLOps // Matt van Itallie // Podcast #275 ,https://youtu.be/G0mn1W3bEXo,MLOps.community,45 ,29:01
10,Enhancing Quality and Security in CI: Gunjan Patel ,https://youtu.be/prttz9_1XDc,AI Engineer,1300,42:37
11,Alibaba's QwQ Model can THINK before Answering: Beats o1 and Claude? ,https://youtu.be/prttz9_1XDc,Mervin Praison,2700,42:37
12,Agentic RAG with Memory || Phidata and Qdrant ,https://youtu.be/QSA5tt-MVeA,AI With Tarun,169 ,8:46
13,Šimon Podhajský - Multi-Agent Frameworks: Teaming Up Specialized AI Models to Tackle Complex Tasks ,https://youtu.be/CDC3GOuJyZ0,PyData,372 ,8:46
14,Experimental Prototype LLM: QwQ 32B - EXTREME POWERFUL ,https://youtu.be/TrBpjYYJNUc,Discover AI,2600,15:26
15,AI Terminology: Know What You Are Talking About ,https://youtu.be/EWTWS1nghY0,NeuralNine,1300,15:26
16,The Future of CI/CD: Deploying GenAI Apps ,https://youtu.be/5igrdrDS5ek,MLOps.community,156 ,2:03
17,PDF Summary with LLMs in Python - LangChain Tutorial ,https://youtu.be/0396QnvGZmc,NeuralNine,2800,2:03
18,Patrick Hoefler - Building Large Scale ETL Pipelines with Dask | PyData Paris 2024 ,https://youtu.be/doRpfmXncEE,PyData,64 ,57:02
19,Bel-Letoile &amp; Carton - Leveraging LLMs to build supervised datasets suitable for smaller models ,https://youtu.be/doRpfmXncEE,PyData,48 ,57:02
20,El Mawass &amp; Knorps - Evaluating the evaluator- RAG eval libraries under the loop | PyData Paris 2024 ,https://youtu.be/oZM4k_vVzMM,PyData,34 ,18:27
21,Lemaitre &amp; Senger - An update on the latest scikit-learn features | PyData Paris 2024 ,https://youtu.be/82AflyGwGWk,PyData,98 ,18:27
22,Carton &amp; Tiran-Cappello - MLOps at Renault: A Generic Pipeline for Scalable Deployment ,https://youtu.be/yrWmK3pXrKk,PyData,77 ,6:07
23,Johan Mabille &amp; Julien Jerphanion - Unveiling Mamba 2.0: The Future of Fast Package Management ,https://youtu.be/PlCn-hqdMLw,PyData,72 ,6:07
24,Silva-Enhancing RAG-based apps ,https://youtu.be/CBK6E-NPdWg,PyData,308 ,17:03
25,Prompt Canvas from LangChain - Step ,https://youtu.be/2Pu72HC1DW8,Fahd Mirza,386 ,17:03
26,CODE to Fine-Tune NEW SmolVLM on Consumer GPU w QLoRA ,https://youtu.be/sjprfQw5TJw,Discover AI,1100,27:35
27,Attamba: Attending To Multi-Token States ,https://youtu.be/jIOZlzQ3le8,Arxiv Papers,58 ,27:35
28,AI News: AWS Multi-Agents Framework- OpenAI- DeepMind and more! ,https://youtu.be/jIOZlzQ3le8,Mervin Praison,2600,16:38
29,Advanced RAG Optimization To Make it Production-ready ,https://youtu.be/TJApH9Waf-0,Zilliz,55 ,16:38
30,EfficientML.ai Lecture 22: Course Summary + Quantum Machine Learning Part 1 (MIT 6.5940- Fall 2024) ,https://youtu.be/TRAK93AGwsw,MIT HAN Lab,184 ,22:54
