,title,link,channel,views,length
0,LLM Eval Office Hours #3: The Importance Of Starting With Error Analysis ,https://youtu.be/ZEvXvyY17Ys,Hamel Husain,185 ,24:00
1,OpenAI Whisper: Robust Speech Recognition via Large-Scale Weak Supervision | Paper and Code ,https://youtu.be/AwJf8aQfChE,Aleksa Gordić - The AI Epiphany,38000,24:00
2,OpenAI's Whisper Model Explained ,https://youtu.be/uFOkMme19Zs,What's AI by Louis-François Bouchard,22000,1:02:42
3,Vision Language Models: PaLI-3 and COMM ,https://youtu.be/446QYqELoIs,hu-po,4400,1:02:42
4,Scalable Multi-Modal Vision - ONNX optimized SigLIP and related foundation models ,https://youtu.be/pmxh_Aas2OI,Rhys Williams,226 ,5:25
5,How to Evaluate LLM Performance ,https://youtu.be/HgUnv_c6gOM,Trelis Research,2400,5:25
6,Lucas Beyer - Sigmoid Loss for Language Image Pre-Training ,https://youtu.be/Nk9YnMHB6hU,Cohere,53000,1:59:32
7,Coding a Multimodal (Vision) Language Model from scratch in PyTorch with full explanation ,https://youtu.be/vAmKB7iPkWw,Umar Jamil,2500,1:59:32
8,ImageBind paper explained: One Embedding Space To Bind Them All (from Meta AI) ,https://youtu.be/cfU_QPNcl2U,AI Bites,369 ,15:01
9,Building a Multimodal Knowledge Assistant with Jerry Liu- CEO of LlamaIndex ,https://youtu.be/hpr6aIREYHQ,Samsara,216000,15:01
10,Outperform Every Area Of Your Life (+2h Animation) ,https://youtu.be/S7RFQfClRF4,Outperform,1300,7:30
11,How To Make Your AI Agents Work (Better Than o1?) ,https://youtu.be/P9FqFFV1sFk,Yaron Been,1100,59:57
12,AI Hard Parts: LLMs and Embeddings Workshop ,https://youtu.be/Om97d7VgfjU,Codesmith,1000,59:57
13,Pydantic AI Tutorial: Build Agents to Analyze Mobile App Reviews in Python ,https://youtu.be/v02KEiLK1iE,Venelin Valkov,28 ,5:46:05
14,Tokenisation is NP-Complete ,https://youtu.be/X3Pzd7X3yqQ,Arxiv Papers,60 ,5:46:05
15,A Survey on LLM Inference-Time Self-Improvement ,https://youtu.be/PMUPCXz2Pzc,Arxiv Papers,211 ,12:30
16,Difference Between Flash Attention- Flash Attention 2 and Duo Attention ,https://youtu.be/yz9UVWoP38Y,Fahd Mirza,572 ,12:30
17,Fine-Tuning LLMs for RAG: Boost Model Performance and Accuracy ,https://youtu.be/CWTSImmqcvQ,What's AI by Louis-François Bouchard,5000,50:32
18,Byte Latent Transformer (BLT) ,https://youtu.be/HuEgzyNOg7Y,AI Papers Academy,6600,50:32
