,title,link,channel,views,length
0,Fine tuning Embeddings Model ,https://youtu.be/hdFHYNCmO8U,Mosleh Mahamud,5200,7:07
1,Does Fine Tuning Embedding Models Improve RAG? ,https://youtu.be/hdFHYNCmO8U,Adam Lucek,2400,7:07
2,Best of 2024 in Agents (from #1 on SWE-Bench Full- Prof. Graham Neubig of OpenHands/AllHands) ,https://youtu.be/hztWQcoUbt0,Latent Space,1800,26:04
3,NEW Knowledge Graph based RAG: SimGRAG (no training) ,https://youtu.be/B6PKVZq2qqo,Discover AI,3500,26:04
4,Implementing Agentic RAG using Elasticsearch &amp; Langchain ,https://youtu.be/aPsfAkrkma0,Official Elastic Community,263 ,51:25
5,Building a Domain Specific GenAI Chatbot with Serverless • Eric Johnson • GOTO 2024 ,https://youtu.be/yM_I_15n6yo,GOTO Conferences,774 ,51:25
6,NeMo Guardrails - Tame your LLM without Prompt Engineering ,https://youtu.be/bhxcZaiPsyo,Coding Crash Courses,6400,18:42
7,Byte Latent Transformer: Patches Scale Better Than Tokens (Paper Explained) ,https://youtu.be/3DfV6URqrZA,Yannic Kilcher,16000,18:42
8,Building Agentic RAG Systems: Hands-On Tutorial! ,https://youtu.be/loaTGpqfctI,Pavan Belagatti,1200,26:54
9,Inside OpenCoder: The Data and Cookbook ,https://youtu.be/1hDJ52N4HeM,Oxen,167 ,26:54
10,KAG Framework SMASHES GraphRAG in Accurate Knowledge Generation ,https://youtu.be/DIHLRNYIFQA,Mervin Praison,7000,43:39
11,847: AI Engineering 101 — with Ed Donner ,https://youtu.be/TnTH85-jobE,Super Data Science: ML &amp; AI Podcast with Jon Krohn,192 ,43:39
12,Chat with Multiple/Large SQL and Vector Databases using LLM agents (Combine RAG and SQL-Agents) ,https://youtu.be/zsjhqFyENgE,Farzad Roozitalab (AI RoundTable),17000,18:12
13,How to Combine Vector Search and SQL for RAG ,https://youtu.be/xsCedrNP9w8,Johannes Jolkkonen | Funktio AI,3400,18:12
14,OpenAI Whisper: Robust Speech Recognition via Large-Scale Weak Supervision | Paper and Code ,https://youtu.be/TTvvQIeajOM,Aleksa Gordić - The AI Epiphany,38000,36:15
15,Vision Language Models: PaLI-3 and COMM ,https://youtu.be/AwJf8aQfChE,hu-po,4500,36:15
16,How to Evaluate LLM Performance ,https://youtu.be/446QYqELoIs,Trelis Research,2500,46:15
17,Lucas Beyer - Sigmoid Loss for Language Image Pre-Training ,https://youtu.be/HgUnv_c6gOM,Cohere,54000,46:15
