,title,link,channel,views,length
0,How Contextual Retrieval Elevates Your RAG to the Next Level ,https://youtu.be/jQlxAozlJi4,TwoSetAI,381 ,20:36
1,Not All LLM Reasoners Are Created Equal ,https://youtu.be/jQlxAozlJi4,Arxiv Papers,58 ,20:36
2,Automated Red Teaming with GOAT: the Generative Offensive Agent Tester ,https://youtu.be/0wepeAkMZGw,Arxiv Papers,52 ,9:51
3,Ben presents: Self-Consistency Improves Chain of Thought Reasoning in Language Models ,https://youtu.be/0wepeAkMZGw,nPlan,11 ,9:51
4,Building AI Agents is HARD—Here's How to Make it Easier ,https://youtu.be/iI59iiVId5g,Data Centric,606 ,13:54
5,Boosting LLMs: Performance- Scaling- and Structured Outputs // MLOps Mini Summit #8 ,https://youtu.be/kp6h0iZ4rm8,MLOps.community,67 ,13:54
6,Topical Chunking - Advanced Chunking Strategy for RAG ,https://youtu.be/4akq4SKZxyk,TechViz - The Data Science Guy,58 ,47:57
7,SuperNova: Distillation of Llama 3.1 ,https://youtu.be/886hZl5Qp7g,AI Makerspace,259 ,47:57
8,Liquid LFM 40B:  The Next Frontier in Transformer AI Architecture ,https://youtu.be/lW2KxJIwhUY,Ai Flux,3300,59:45
9,The Shift in Data Dynamics // Shiva Bhattacharjee // MLOps Podcast #260 clip ,https://youtu.be/dCU5OxcUPFc,MLOps.community,54 ,59:45
10,OpenAI DevDay 2024 - What No One is Talking About! ,https://youtu.be/HFZCs_t51xQ,Prompt Engineering,5700,1:01:24
11,Getting started with ell-  &quot;Prompts are programs&quot; | replacing langchain ,https://youtu.be/BHgHpdLcJNM,Eoin Tolster,409 ,1:01:24
12,ell: A Powerful- Robust Framework for Prompt Engineering ,https://youtu.be/_1dS6ddf4uU,Ian Wootten,22000,5:49
13,Hacks to Make LLM Training Faster - Daniel Han- Unsloth AI ,https://youtu.be/HsVwe5kCSTY,PyTorch,133 ,5:49
14,Training MoEs at Scale with PyTorch - Mihir Patel &amp; Brian Chu- Databricks ,https://youtu.be/IQI5BZlVI3Y,PyTorch,11 ,1:06:29
15,Lightning Talk: LLMs on Edge with AI Accelerators - Chen Lai- Kimish Patel &amp; Cemal Bilgin- Meta ,https://youtu.be/PdtKkc5jB4g,PyTorch,67 ,1:06:29
16,vLLM: Easy- Fast- and Cheap LLM Serving for Everyone - Woosuk Kwon &amp; Xiaoxuan Liu- UC Berkeley ,https://youtu.be/1c56wxv00hI,PyTorch,104 ,19:06
17,Keynote: Navigating the Architectural Timeline of LLMs - Sebastian Raschka- Lightning AI ,https://youtu.be/8p8Pntnr3GU,PyTorch,82 ,19:06
18,LIQUID AI 40B (MIT): REAL Performance on Reasoning (My 5 Tests) ,https://youtu.be/9ih0EmcXRHE,Discover AI,4300,2:30
19,Unpacking 3 Types of Feature Stores // Simba Khadder // MLOps Podcast #265 ,https://youtu.be/frkAt-gZVjc,MLOps.community,96 ,2:30
20,Google Michelangelo - A New Framework for AI Reasoning ,https://youtu.be/M_v5f5Mvzxo,Fahd Mirza,351 ,14:29
21,Beyond the Tutorial: Building Agents with LlamaIndex &amp; Qdrant ,https://youtu.be/Z3NtwdhvtNg,Qdrant - Vector Database &amp; Search Engine,273 ,14:29
22,Do You Even Need Fine-Tuning? ,https://youtu.be/RoFVyvLUcu4,AI User Group,64 ,7:19
23,Ba,https://youtu.be/3mWIFsooibQ,Fahd Mirza,1200,7:19
24,What is GenAIOps and how it can help you build better genAI apps ,https://youtu.be/dYhR2k3rHQU,Microsoft Reactor,20 ,15:04
25,AI Beyond the Hype: Lessons from Cloud on Risk and Security ,https://youtu.be/CaDITH8M6SY,MLSecOps,1000,15:04
26,Build Better RAGs with Contextual Retrieval ,https://youtu.be/hkTJyWYUIVw,Venelin Valkov,249 ,7:58
27,EfficientML.ai Lecture 8 - Neural Architecture Search Part II (MIT 6.5940- Fall 2024) ,https://youtu.be/549DOz5MXMg,MIT HAN Lab,8600,7:58
28,How good is llama 3.2 REALLY? Ollama SLM &amp; LLM Prompt Ranking (Qwen- Phi- Gemini Flash) ,https://youtu.be/yOLdYoEo5Vc,IndyDevDan,132 ,18:53
29,Logic-of-Thought: Injecting Logic into Contexts for Full Reasoning in Large Language Models ,https://youtu.be/yOLdYoEo5Vc,Arxiv Papers,2000,18:53
30,Multi-Scale Insight Agents for Advanced AI Reasoning (Stanford) ,https://youtu.be/5ty12mNV4Sg,Discover AI,639 ,12:09
31,A Retrieval Augmented Generation system to query the scikit-learn documentation ,https://youtu.be/VC6QCEXERpU,PyData,4300,12:09
32,Real time RAG App using Llama 3.2 and Open Source Stack on CPU ,https://youtu.be/xtsHZ4cmmlQ,AI Anytime,227 ,23:33
33,Best small LLMs for local system ,https://youtu.be/6Zbx0Zi7ZW0,Data Science in your pocket,20000,23:33
34,Contextual Retrieval with Any LLM: A Step-,https://youtu.be/a1F_qOn11xc,Prompt Engineering,42 ,15:25
35,MIO: A Foundation Model on Multimodal Tokens ,https://youtu.be/7hnZ6SFnXXA,Arxiv Papers,109 ,15:25
36,Emu3: Next-Token Prediction is All You Need ,https://youtu.be/obSiT-y-uKU,Arxiv Papers,819 ,15:32
37,LangGraph 01: Syllabus Introduction of End to End LangGraph Course | LangChain #ai #genai #llm ,https://youtu.be/6efwN_US-zk,Sunny Savita,985 ,15:32
38,LLM Fine Tuning - Explained! ,https://youtu.be/SAUQvgSuOW0,CodeEmporium,152 ,1:05:42
39,Mastering Isolation Forest with Python and Scikit-Learn ,https://youtu.be/vO3sEdNGibw,Ryan &amp; Matt Data Science,2900,1:05:42
40,Anthropic's new improved RAG: Explained (for all LLM) ,https://youtu.be/zcC8eK6grqw,Discover AI,514 ,5:29
41,Build an AI Document Inquiry Chat with Offline LLMs [PyCon DE &amp; PyData Berlin 2024] ,https://youtu.be/HcVtpLAGMXo,PyData,176 ,5:29
42,Integrating Knowledge Graphs &amp; Vector RAG for Efficient Information Extraction / Reading Grp Sept 12 ,https://youtu.be/e1AsKgztz4w,MLOps.community,1000,54:07
43,Test Time Compute: Sampling and Chain of Thought ,https://youtu.be/qQrpq8DOW1I,Trelis Research,3200,54:07
44,Infrastructure for building reliable agents: Harrison Chase ,https://youtu.be/MIzPl3hB1nI,AI Engineer,265 ,26:34
